#chrom	txStart	txEnd	refseq	score	strand	symbol	rank
chr2	130521093	130521094	NM_001079530	2.435	+	CFC1B	75
chr14	33708936	33708937	NR_132771	2.426	+	SNORA89	76
chr7	6272611	6272612	NM_004227	2.407	-	CYTH3	77
chr2	130509235	130509236	NM_001277406	2.406	-	POTEI	78
chr10	112356595	112356596	NR_028134	2.392	-	GUCY2GP	79
chr8	127079873	127079874	NR_109833	2.356	+	PRNCR1	80
chr7	19705436	19705437	NR_036101	2.261	-	MIR3146	81
chr2	233744015	233744016	NM_001001394	2.257	-	DNAJB3	82
chr20	47501856	47501857	NM_181659	2.253	+	NCOA3	83
chr20	47501856	47501857	NM_006534	2.253	+	NCOA3	84
chr20	47501856	47501857	NM_001174087	2.253	+	NCOA3	85
chr20	47501856	47501857	NM_001174088	2.253	+	NCOA3	86
chr8	58659845	58659846	NM_003580	2.236	-	NSMAF	87
chr6	83193293	83193294	NM_015599	2.229	-	PGM3	88
chr6	83193293	83193294	NM_001199919	2.229	-	PGM3	89
chr6	83193293	83193294	NM_001199918	2.229	-	PGM3	90
chr8	58659407	58659408	NM_001144772	2.218	-	NSMAF	91
chr8	127013153	127013154	NR_045262	2.174	+	PCAT1	92
chr13	112754731	112754732	NR_109811	2.159	-	ATP11A-AS1	93
chr13	112754731	112754732	NR_046661	2.159	-	ATP11A-AS1	94
chr6	83193936	83193937	NM_001199917	2.133	-	PGM3	95
chr8	128150115	128150116	NR_031613	2.121	+	MIR1208	96
chr1	84408350	84408351	NM_058248	2.111	+	DNASE2B	97
chr4	105552619	105552620	NM_017700	2.089	+	ARHGEF38	98
chr4	105552619	105552620	NM_001242729	2.089	+	ARHGEF38	99
chr5	138561110	138561111	NR_002913	2.076	-	SNORD63	100
chr3	188212932	188212933	NM_005578	2.075	+	LPP	101
chr13	95533910	95533911	NR_046533	2.057	-	CLDN10-AS1	102
chr16	20327620	20327621	NM_001502	2.048	-	GP2	103
chr16	20327620	20327621	NM_001007241	2.048	-	GP2	104
chr16	20327620	20327621	NM_001007242	2.048	-	GP2	105
chr16	20327620	20327621	NM_001007240	2.048	-	GP2	106
chr19	48061370	48061371	NR_132363	2.042	+	PLA2G4C-AS1	107
chr19	48061370	48061371	NR_132365	2.042	+	PLA2G4C-AS1	108
chr19	48061370	48061371	NR_132364	2.042	+	PLA2G4C-AS1	109
chr9	109320964	109320965	NM_019114	2.039	-	EPB41L4B	110
chr9	109320964	109320965	NM_018424	2.039	-	EPB41L4B	111
chr8	132480757	132480758	NM_004519	2.028	-	KCNQ3	112
chr4	155667662	155667663	NM_001130684	2.013	+	GUCY1A3	113
chr4	105561590	105561591	NR_046840	2.005	+	ARHGEF38-IT1	114
chr11	111305048	111305049	NM_001302644	1.959	-	COLCA1	115
chr12	70637440	70637441	NM_001109754	1.953	-	PTPRB	116
chr5	69710527	69710528	NR_027386	1.944	-	GUSBP3	117
chr7	38273647	38273648	NM_001003799	1.938	-	TARP	118
chr7	38273647	38273648	NM_001003806	1.938	-	TARP	119
chr8	117520712	117520713	NM_080651	1.929	+	MED30	120
chr8	117520712	117520713	NM_001282986	1.929	+	MED30	121
chr10	118595648	118595649	NM_004248	1.928	-	PRLHR	122
chr4	155666996	155666997	NM_001130683	1.902	+	GUCY1A3	123
chr5	76403254	76403255	NM_006633	1.902	+	IQGAP2	124
chr4	155666996	155666997	NM_001130685	1.902	+	GUCY1A3	125
chr4	155666962	155666963	NM_001256449	1.896	+	GUCY1A3	126
chr5	127653014	127653015	NM_001127385	1.888	+	CTXN3	127
chr14	49966398	49966399	NR_106724	1.887	+	MIR6076	128
chr5	127649020	127649021	NM_001048252	1.887	+	CTXN3	129
chr20	19889565	19889566	NM_018993	1.886	+	RIN2	130
chr11	60699573	60699574	NM_031457	1.882	+	MS4A8	131
chr5	149932977	149932978	NR_110534	1.878	-	LOC644762	132
chr4	155666709	155666710	NM_001130687	1.857	+	GUCY1A3	133
chr4	155666709	155666710	NM_001130682	1.857	+	GUCY1A3	134
chr4	155666709	155666710	NM_000856	1.857	+	GUCY1A3	135
chr16	3457984	3457985	NM_001083600	1.846	+	NAA60	136
chr16	3457984	3457985	NM_024845	1.846	+	NAA60	137
chr16	3457984	3457985	NM_001317098	1.846	+	NAA60	138
chr16	3457984	3457985	NM_001317097	1.846	+	NAA60	139
chr16	3457984	3457985	NM_001317094	1.846	+	NAA60	140
chr16	3457984	3457985	NM_001317095	1.846	+	NAA60	141
chr16	3457984	3457985	NM_001317096	1.846	+	NAA60	142
chr10	114239253	114239254	NM_001272046	1.805	+	VWA2	143
chr4	88592422	88592423	NM_014606	1.8	+	HERC3	144
chr4	88592422	88592423	NM_001271602	1.8	+	HERC3	145
chr6	83708801	83708802	NM_001256718	1.791	-	SNAP91	146
chr2	222861013	222861014	NM_004457	1.788	+	ACSL3	147
chr2	222861013	222861014	NM_203372	1.788	+	ACSL3	148
chr16	21597220	21597221	NM_001288659	1.77	+	METTL9	149
chr6	83709128	83709129	NM_001242792	1.77	-	SNAP91	150
chr16	21597220	21597221	NM_001288660	1.77	+	METTL9	151
chr11	62242251	62242252	NM_006551	1.768	+	SCGB1D2	152
chr22	15703354	15703355	NR_046571	1.757	-	POTEH-AS1	153
chr6	83709408	83709409	NM_001242793	1.753	-	SNAP91	154
chr6	83709408	83709409	NM_001242794	1.753	-	SNAP91	155
chr6	83709408	83709409	NM_001256717	1.753	-	SNAP91	156
chr6	83709408	83709409	NM_014841	1.753	-	SNAP91	157
chr15	89751309	89751310	NM_018670	1.751	-	MESP1	158
chr6	4135468	4135469	NM_001166010	1.751	-	ECI2	159
chr14	45110874	45110875	NR_003691	1.751	+	SNORD127	160
chr19	51986826	51986827	NM_021632	1.751	-	ZNF350	161
chr5	131264008	131264009	NM_001038702	1.75	+	CDC42SE2	162
chr5	131264008	131264009	NM_020240	1.75	+	CDC42SE2	163
chr13	105706829	105706830	NR_120418	1.743	+	LINC00343	164
chr13	105706829	105706830	NR_046391	1.743	+	LINC00343	165
chr7	26364324	26364325	NM_001199838	1.737	+	SNX10	166
chr6	4135597	4135598	NM_006117	1.736	-	ECI2	167
chr6	4135597	4135598	NM_206836	1.736	-	ECI2	168
chr6	4135597	4135598	NR_028588	1.736	-	ECI2	169
chr7	19709037	19709038	NM_001002926	1.735	-	TWISTNB	170
chr14	67701885	67701886	NM_152443	1.728	+	RDH12	171
chr13	52159861	52159862	NM_001146099	1.712	-	NEK3	172
chr13	52159861	52159862	NM_002498	1.712	-	NEK3	173
chr13	52159861	52159862	NR_027415	1.712	-	NEK3	174
chr11	9094362	9094363	NR_027713	1.71	+	KRT8P41	175
chr4	87422575	87422576	NM_001248011	1.704	+	NUDT9	176
chr4	87422575	87422576	NM_024047	1.704	+	NUDT9	177
chr17	42980564	42980565	NM_173079	1.704	+	RUNDC1	178
chr4	87422596	87422597	NM_198038	1.703	+	NUDT9	179
chr8	133297304	133297305	NM_001135242	1.701	-	NDRG1	180
chr8	133297304	133297305	NM_001258432	1.701	-	NDRG1	181
chr8	133297304	133297305	NM_006096	1.701	-	NDRG1	182
chr8	133297304	133297305	NM_001258433	1.701	-	NDRG1	183
chr17	42980528	42980529	NM_001136042	1.7	-	PTGES3L-AARSD1	184
chr17	42980528	42980529	NM_001142653	1.7	-	PTGES3L	185
chr17	42980528	42980529	NM_001142654	1.7	-	PTGES3L	186
chr17	42980528	42980529	NM_001261430	1.7	-	PTGES3L	187
chr4	165386241	165386242	NR_030304	1.696	+	MIR578	188
chr5	13944480	13944481	NM_001369	1.695	-	DNAH5	189
chr11	9090379	9090380	NR_049874	1.681	-	MIR5691	190
chr6	4136071	4136072	NR_103764	1.681	+	LOC100507506	191
chr5	169637246	169637247	NM_004946	1.68	+	DOCK2	192
chr11	9091603	9091604	NM_020974	1.679	-	SCUBE2	193
chr11	9091603	9091604	NM_001170690	1.679	-	SCUBE2	194
chr2	233755345	233755346	NR_037694	1.678	-	LOC100286922	195
chr2	233755345	233755346	NR_037695	1.678	-	LOC100286922	196
chr2	233755345	233755346	NR_037696	1.678	-	LOC100286922	197
chr6	131637234	131637235	NM_005021	1.671	+	ENPP3	198
chr6	131637234	131637235	NR_133007	1.671	+	ENPP3	199
chr13	52159535	52159536	NM_152720	1.671	-	NEK3	200
chr2	130599678	130599679	NM_001079530	1.667	-	CFC1B	201
chr8	116325059	116325060	NR_046215	1.664	-	LINC00536	202
chr11	65712001	65712002	NM_001206833	1.659	+	KAT5	203
chr11	65712001	65712002	NM_182709	1.659	+	KAT5	204
chr11	65712001	65712002	NM_006388	1.659	+	KAT5	205
chr11	65712001	65712002	NM_182710	1.659	+	KAT5	206
chr2	130599575	130599576	NM_001270421	1.655	-	CFC1	207
chr2	130599575	130599576	NM_001270420	1.655	-	CFC1	208
chr2	130599575	130599576	NM_032545	1.655	-	CFC1	209
chr1	224183207	224183208	NM_003676	1.645	+	DEGS1	210
chr17	42980003	42980004	NM_025267	1.645	-	PTGES3L-AARSD1	211
chr22	42500578	42500579	NR_027786	1.631	+	SERHL	212
chr4	69020397	69020398	NM_001290091	1.628	-	UGT2B10	213
chr4	69020397	69020398	NM_001075	1.628	-	UGT2B10	214
chr4	69020397	69020398	NM_001144767	1.628	-	UGT2B10	215
chr6	34556333	34556334	NM_001252294	1.626	-	SPDEF	216
chr6	34556333	34556334	NM_012391	1.626	-	SPDEF	217
chr8	60413818	60413819	NR_103854	1.616	-	LINC01301	218
chr10	125683242	125683243	NR_033848	1.615	+	LOC283038	219
chr1	205632872	205632873	NM_001973	1.614	-	ELK4	220
chr1	205632872	205632873	NM_021795	1.614	-	ELK4	221
chr2	9003747	9003748	NM_138799	1.613	-	MBOAT2	222
chr14	67695793	67695794	NM_016026	1.61	-	RDH11	223
chr14	67695793	67695794	NM_001252650	1.61	-	RDH11	224
chr2	130611532	130611533	NM_001277083	1.605	+	POTEJ	225
chr10	125683144	125683145	NM_001128202	1.605	-	TEX36	226
chr16	25692025	25692026	NM_006040	1.604	+	HS3ST4	227
chr16	21599385	21599386	NR_110930	1.601	-	LOC101927814	228
chr11	111300232	111300233	NM_001302645	1.594	-	COLCA1	229
chr16	21599475	21599476	NM_001077180	1.592	+	METTL9	230
chr16	21599475	21599476	NM_016025	1.592	+	METTL9	231
chr13	49401538	49401539	NM_030925	1.585	-	CAB39L	232
chr6	157381524	157381525	NM_024630	1.584	+	ZDHHC14	233
chr6	157381524	157381525	NM_153746	1.584	+	ZDHHC14	234
chr17	73193033	73193034	NM_018714	1.58	+	COG1	235
chr11	111300036	111300037	NM_001302647	1.572	-	COLCA1	236
chr2	226658793	226658794	NR_049887	1.572	-	MIR5702	237
chr11	111300036	111300037	NM_001302648	1.572	-	COLCA1	238
chr3	192727599	192727600	NM_004113	1.571	-	FGF12	239
chr8	91102618	91102619	NM_001129890	1.57	+	LRRC69	240
chr5	38557561	38557562	NR_037423	1.563	-	MIR3650	241
chr13	36297855	36297856	NM_001144984	1.562	-	CCDC169	242
chr13	36297855	36297856	NM_001144985	1.562	-	CCDC169	243
chr13	36297855	36297856	NM_001198910	1.562	-	CCDC169-SOHLH2	244
chr13	36297855	36297856	NM_001198908	1.562	-	CCDC169	245
chr13	36297855	36297856	NM_001144986	1.562	-	CCDC169	246
chr15	45511135	45511136	NR_022014	1.562	+	HMGN2P46	247
chr13	36297855	36297856	NM_001144983	1.562	-	CCDC169	248
chr13	36297855	36297856	NM_001144982	1.562	-	CCDC169	249
chr13	36297855	36297856	NM_001144981	1.562	-	CCDC169	250
chr20	19886520	19886521	NM_001242581	1.559	+	RIN2	251
chr11	111299896	111299897	NM_207429	1.557	-	COLCA1	252
chr11	86069097	86069098	NM_001206946	1.556	-	PICALM	253
chr11	86069097	86069098	NM_007166	1.556	-	PICALM	254
chr11	86069097	86069098	NM_001008660	1.556	-	PICALM	255
chr5	125493260	125493261	NR_109887	1.551	+	LOC101927460	256
chr19	34645872	34645873	NR_045208	1.548	+	SCGB2B3P	257
chr4	165378941	165378942	NM_001873	1.542	+	CPE	258
chr17	68291494	68291495	NM_001267727	1.54	+	ARSG	259
chr16	5097820	5097821	NM_001289029	1.538	-	EEF2KMT	260
chr16	5097820	5097821	NM_201400	1.538	-	EEF2KMT	261
chr16	5097820	5097821	NM_201598	1.538	-	EEF2KMT	262
chr12	97563811	97563812	NR_029678	1.532	+	MIR135A2	263
chr18	14946266	14946267	NR_104164	1.532	+	LINC01443	264
chrX	134169452	134169453	NR_029852	1.531	-	MIR363	265
chr3	53495048	53495049	NM_000720	1.528	+	CACNA1D	266
chr3	53495048	53495049	NM_001128840	1.528	+	CACNA1D	267
chr3	53495048	53495049	NM_001128839	1.528	+	CACNA1D	268
chr8	66712417	66712418	NM_001033578	1.526	+	SGK3	269
chr17	68291264	68291265	NM_004694	1.516	-	SLC16A6	270
chr17	68291264	68291265	NM_001174166	1.516	-	SLC16A6	271
chrX	134169612	134169613	NR_029509	1.514	-	MIR92A2	272
chr5	38556785	38556786	NR_103553	1.514	+	LIFR-AS1	273
chr5	38556785	38556786	NR_103554	1.514	+	LIFR-AS1	274
chr22	19566839	19566840	NR_024381	1.509	-	LINC00895	275
chr9	24545676	24545677	NM_001271706	1.507	-	IZUMO3	276
chr10	112374157	112374158	NM_203379	1.506	+	ACSL5	277
chrX	134169766	134169767	NR_029491	1.499	-	MIR19B2	278
chr15	69452819	69452820	NM_213725	1.498	+	RPLP1	279
chr2	164840748	164840749	NR_110574	1.498	+	LOC101929633	280
chr15	69452819	69452820	NM_001003	1.498	+	RPLP1	281
chr3	188225404	188225405	NM_001167671	1.491	+	LPP	282
chr2	164841418	164841419	NM_001278461	1.49	-	COBLL1	283
chr2	164841418	164841419	NM_014900	1.49	-	COBLL1	284
chr2	6650372	6650373	NR_106986	1.49	+	MIR7515	285
chr7	156603195	156603196	NR_103858	1.489	-	LINC01006	286
chr11	111299253	111299254	NM_001302646	1.489	-	COLCA1	287
chr18	35591736	35591737	NR_039771	1.489	+	MIR3975	288
chrX	134169877	134169878	NR_029950	1.488	-	MIR20B	289
chr11	111299250	111299251	NM_001136105	1.488	+	COLCA2	290
chr5	149944793	149944794	NM_000440	1.487	-	PDE6A	291
chr2	164842168	164842169	NM_001278458	1.483	-	COBLL1	292
chr2	164842168	164842169	NM_001278460	1.483	-	COBLL1	293
chr5	70585802	70585803	NR_027386	1.481	-	GUSBP3	294
chr5	70585722	70585723	NR_034021	1.48	-	SMA5	295
chr10	112375264	112375265	NM_203380	1.478	+	ACSL5	296
chr4	176792745	176792746	NM_005429	1.476	-	VEGFC	297
chr2	6650519	6650520	NR_110497	1.475	-	MIR7515HG	298
chr5	70290177	70290178	NR_029426	1.475	-	SMA4	299
chr5	151303773	151303774	NM_181774	1.474	-	SLC36A3	300
chr5	151303773	151303774	NM_001145017	1.474	-	SLC36A3	301
chr10	112376197	112376198	NM_016234	1.466	+	ACSL5	302
chrX	134170111	134170112	NR_029949	1.464	-	MIR18B	303
chr11	86069881	86069882	NM_001206947	1.463	-	PICALM	304
chr20	45124465	45124466	NM_080869	1.46	-	WFDC12	305
chr4	151175552	151175553	NM_001128924	1.458	-	SH3D19	306
chr3	111732479	111732480	NM_001134437	1.45	+	PHLDB2	307
chr22	18791961	18791962	NR_003267	1.449	-	GGT3P	308
chr16	54928778	54928779	NM_001308963	1.448	-	CRNDE	309
chr16	54928778	54928779	NR_034106	1.448	-	CRNDE	310
chr16	54928778	54928779	NR_110454	1.448	-	CRNDE	311
chrX	134170278	134170279	NR_029523	1.448	-	MIR106A	312
chr7	26360883	26360884	NM_001199837	1.446	+	SNX10	313
chr11	111298839	111298840	NM_001271457	1.445	+	COLCA2	314
chr6	110958559	110958560	NM_138408	1.445	+	GTF3C6	315
chr7	73770270	73770271	NM_001306	1.443	-	CLDN3	316
chr12	85036277	85036278	NM_001100917	1.442	-	TSPAN19	317
chr12	85036320	85036321	NM_001079910	1.442	+	LRRIQ1	318
chr1	206117048	206117049	NM_000707	1.429	-	AVPR1B	319
chr4	89838296	89838297	NM_001146055	1.427	-	SNCA	320
chr10	28677494	28677495	NM_012342	1.425	+	BAMBI	321
chr6	16761490	16761491	NM_000332	1.424	-	ATXN1	322
chr6	16761490	16761491	NM_001128164	1.424	-	ATXN1	323
chr2	46588	46589	NM_001077710	1.421	-	FAM110C	324
chr11	111298545	111298546	NM_001271458	1.415	+	COLCA2	325
chr12	94571352	94571353	NR_106998	1.413	-	MIR7844	326
chr11	10294207	10294208	NM_030962	1.411	-	SBF2	327
chr15	89690796	89690797	NM_001284396	1.409	+	WDR93	328
chr16	54929189	54929190	NR_110453	1.409	-	CRNDE	329
chr15	89690796	89690797	NM_020212	1.409	+	WDR93	330
chr16	54929189	54929190	NR_034105	1.409	-	CRNDE	331
chr15	89690796	89690797	NM_001284395	1.409	+	WDR93	332
chr15	89690784	89690785	NM_003847	1.408	-	PEX11A	333
chr15	89690784	89690785	NM_001271573	1.408	-	PEX11A	334
chr15	89690784	89690785	NM_001271572	1.408	-	PEX11A	335
chr14	61995822	61995823	NM_031914	1.407	+	SYT16	336
chr1	247673041	247673042	NM_001005487	1.406	-	OR13G1	337
chr2	131596773	131596774	NR_033885	1.406	+	POTEKP	338
chr1	26067634	26067635	NM_032588	1.4	-	TRIM63	339
chr4	88523801	88523802	NM_032906	1.392	-	PYURF	340
chr4	88523801	88523802	NM_001042616	1.392	-	PIGY	341
chr11	32436038	32436039	NR_120546	1.39	+	WT1-AS	342
chr8	23682889	23682890	NM_001256339	1.386	-	NKX3-1	343
chr12	100593617	100593618	NM_001303131	1.386	+	GAS2L3	344
chr5	154850685	154850686	NM_032385	1.384	-	FAXDC2	345
chr8	23682921	23682922	NR_046072	1.383	-	NKX3-1	346
chr8	23682937	23682938	NM_006167	1.38	-	NKX3-1	347
chr15	45023103	45023104	NR_034039	1.371	+	SORD	348
chr6	131628239	131628240	NM_004830	1.371	-	MED23	349
chr6	131628239	131628240	NM_015979	1.371	-	MED23	350
chr6	131628239	131628240	NM_001270522	1.371	-	MED23	351
chr6	131628239	131628240	NM_001270521	1.371	-	MED23	352
chr15	45023103	45023104	NM_003104	1.371	+	SORD	353
chr15	71141448	71141449	NM_024817	1.37	+	THSD4	354
chr17	27800529	27800530	NM_000625	1.368	-	NOS2	355
chr4	158172566	158172567	NM_016613	1.365	-	FAM198B	356
chr4	158173050	158173051	NM_001031700	1.364	-	FAM198B	357
chr4	158173050	158173051	NM_001128424	1.364	-	FAM198B	358
chr1	120912237	120912238	NR_024584	1.358	+	LINC00623	359
chr16	67964065	67964066	NM_001145963	1.353	-	SLC12A4	360
chr2	158795316	158795317	NM_001017920	1.352	+	DAPL1	361
chr1	120913216	120913217	NR_109754	1.348	+	LINC00623	362
chr1	120913216	120913217	NR_024510	1.348	+	LINC00623	363
chr1	120913216	120913217	NR_024511	1.348	+	LINC00623	364
chr6	151690495	151690496	NM_001122742	1.347	+	ESR1	365
chr11	32435535	32435536	NM_000378	1.341	-	WT1	366
chr11	32435535	32435536	NM_024426	1.341	-	WT1	367
chr11	32435535	32435536	NM_024424	1.341	-	WT1	368
chr5	119037661	119037662	NR_134249	1.341	-	LOC105379143	369
chr11	32435517	32435518	NR_120549	1.339	+	WT1-AS	370
chr11	32435517	32435518	NR_023920	1.339	+	WT1-AS	371
chr11	32435517	32435518	NR_120547	1.339	+	WT1-AS	372
chr11	32435517	32435518	NR_120548	1.339	+	WT1-AS	373
chr2	79120457	79120458	NM_002909	1.337	+	REG1A	374
chr2	186694061	186694062	NM_177454	1.337	+	FAM171B	375
chr6	10412317	10412318	NR_033910	1.334	+	TFAP2A-AS1	376
chr5	151447595	151447596	NM_001308150	1.332	+	SLC36A1	377
chr5	151447595	151447596	NM_078483	1.332	+	SLC36A1	378
chr6	10412374	10412375	NM_001032280	1.328	-	TFAP2A	379
chr2	24793305	24793306	NM_001199803	1.326	+	CENPO	380
chr2	24793382	24793383	NM_001013663	1.324	-	PTRHD1	381
chr4	89837199	89837200	NM_000345	1.324	-	SNCA	382
chr15	89679417	89679418	NM_001145311	1.324	-	PLIN1	383
chr15	89679417	89679418	NM_002666	1.324	-	PLIN1	384
chr2	24793461	24793462	NM_024322	1.323	+	CENPO	385
chr3	32238678	32238679	NM_178868	1.322	+	CMTM8	386
chr1	36156053	36156054	NM_001270895	1.319	-	TRAPPC3	387
chr1	36155964	36155965	NM_018067	1.31	+	MAP7D1	388
chr1	36155964	36155965	NM_001286366	1.31	+	MAP7D1	389
chr1	36155964	36155965	NM_001286365	1.31	+	MAP7D1	390
chr17	73644088	73644089	NM_001144952	1.304	-	SDK2	391
chr4	89836976	89836977	NM_001146054	1.303	-	SNCA	392
chr4	89836976	89836977	NM_007308	1.303	-	SNCA	393
chr1	56645316	56645317	NM_006252	1.302	+	PRKAA2	394
chr11	62190237	62190238	NM_006552	1.301	+	SCGB1D1	395
chr7	77798430	77798431	NM_032936	1.293	-	TMEM60	396
chrX	72044408	72044409	NR_002309	1.293	+	RPS26P11	397
chr12	21372867	21372868	NM_000415	1.284	+	IAPP	398
chr10	93757808	93757809	NM_001308276	1.283	+	LGI1	399
chr10	93757808	93757809	NM_001308275	1.283	+	LGI1	400
chr15	89850721	89850722	NR_049817	1.283	-	MIR5094	401
chr10	93757808	93757809	NM_005097	1.283	+	LGI1	402
chr10	93757808	93757809	NR_131777	1.283	+	LGI1	403
chr1	160151561	160151562	NM_144699	1.264	+	ATP1A4	404
chr11	77571088	77571089	NR_130930	1.263	+	LOC646029	405
chr1	21279690	21279691	NM_001113347	1.261	-	ECE1	406
chr9	91361924	91361925	NM_001698	1.26	-	AUH	407
chr7	77798791	77798792	NM_001127360	1.259	+	PHTF2	408
chr7	77798791	77798792	NM_001127358	1.259	+	PHTF2	409
chr7	93226519	93226520	NM_001039372	1.258	-	HEPACAM2	410
chr15	78872780	78872781	NM_001265603	1.258	+	MORF4L1	411
chr15	78872780	78872781	NM_006791	1.258	+	MORF4L1	412
chr15	78872780	78872781	NM_206839	1.258	+	MORF4L1	413
chr7	93226519	93226520	NM_001288804	1.258	-	HEPACAM2	414
chr9	91361969	91361970	NM_001306190	1.256	-	AUH	415
chr5	154858518	154858519	NM_001301073	1.255	+	CNOT8	416
chr5	154858518	154858519	NM_001301074	1.255	+	CNOT8	417
chr5	154858518	154858519	NM_001301080	1.255	+	CNOT8	418
chr5	154858516	154858517	NM_001301082	1.255	+	CNOT8	419
chr5	154858518	154858519	NM_001301075	1.255	+	CNOT8	420
chr5	154858518	154858519	NM_001301086	1.255	+	CNOT8	421
chr5	154858518	154858519	NM_001301077	1.255	+	CNOT8	422
chr5	154858518	154858519	NM_004779	1.255	+	CNOT8	423
chr5	154858248	154858249	NM_001301083	1.254	+	CNOT8	424
chr7	30134935	30134936	NM_152793	1.253	+	MTURN	425
chr5	148826592	148826593	NM_000024	1.252	+	ADRB2	426
chr4	89836400	89836401	NR_045481	1.251	+	SNCA-AS1	427
